CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
8,0,308,21,2
0,0,309,1,5
0,2,310,89,405
0,0,311,110,50
11,0,312,51,27
0,0,313,71,0
0,17,314,51,3
0,1,315,257,868
3,10,316,108,226
0,0,317,22,50
0,10,318,22,253
0,0,319,376,402
1,11,320,685,735
1,0,321,24,7
0,11,322,68,309
0,2,323,89,151
0,2,324,175,190
8,33,325,2495,3783
4,9,326,813,317
0,8,327,179,204
60,56,328,520,304
2,10,329,597,266
117,99,330,7178,2565
12,17,331,898,200
203,221,332,759,392
12,118,333,336,569
19,124,334,1016,499
263,178,335,2778,766
117,63,336,1691,963
168,85,337,1792,652
438,112,338,15358,1480
1778,99,339,7557,899
9970,384,340,7724,2439
2407,436,341,1823,658
3954,428,342,2951,902
2139,494,343,3702,1069
1210,338,344,2946,3018
4050,961,345,1947,2257
2966,726,346,1460,945
1080,521,347,255,775
1909,441,348,291,784
704,280,349,200,12
21053,5681,350,873,2477
464,236,351,59,35
1105,1377,352,437,1286
393,171,353,72,10
2033,1076,354,412,895
840,1951,355,197,967
543,842,356,86,443
390,42,357,0,4
163,659,358,22,458
121,582,359,14,15
794,1184,360,361,745
190,13,361,0,1
141,1283,362,16,800
18,32,363,1,4
133,758,364,1,312
108,1494,365,317,334
223,299,366,36,306
55,61,367,0,0
