CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,7,295,523,763
0,24,296,85,411
0,0,297,170,57
0,10,298,157,352
8,0,299,78,331
29,59,300,2046,10723
10,12,301,445,381
0,58,302,123,4167
6,0,303,363,149
2,18,304,250,449
0,61,305,596,10816
0,15,306,206,4331
0,2,307,146,269
0,24,308,417,480
0,0,309,250,450
11,335,310,2109,9125
2,5,311,262,289
10,21,312,983,5232
12,48,312.5,271,486
28,112,314,959,1917
33,164,315,1942,10979
18,49,316,4504,16441
18,52,317.5,344,1120
20,61,318,4059,3333
3,90,319,1111,6721
236,437,320,13138,32139
178,97,321,363,1029
259,178,322,4310,9043
158,43,322.5,431,796
513,50,323,2949,4945
791,244,324,1909,2168
3030,17921,325,4581,36568
730,563,326,435,3874
399,526,327,408,1484
199,255,327.5,320,441
2017,680,328,563,1656
670,840,329,195,1621
4156,7397,330,2986,22518
285,656,331,274,7733
247,1528,332,73,12959
262,10243,332.5,21,1073
556,2326,333,27,8966
363,1445,334,87,753
3716,4594,335,164,18686
691,1964,336,111,3051
405,974,337,23,1993
683,1444,337.5,9,1050
402,1435,338,260,3807
244,1318,339,87,1637
2745,6169,340,623,20603
181,1342,341,19,1761
2178,2538,342,89,1915
84,1002,342.5,1,1489
336,3851,343,109,7337
85,1752,344,202,4383
947,7048,345,36,6039
286,3381,346,1,2438
406,5799,347,2,1041
39,2039,347.5,0,437
50,2552,348,3,1641
