25 APR 22  (0)  100 (Weeklys),,,,
CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,0,294,50,2
0,0,295,45,157
0,0,296,12,104
0,0,297,0,6
0,1,298,15,679
10,0,299,13,209
21,25,300,781,2895
0,0,301,20,647
0,0,302,494,595
0,0,303,420,94
0,0,304,182,210
1,167,305,1098,1192
0,7,306,67,114
0,14,307,70,194
0,7,308,500,466
0,0,309,445,832
10,5,310,642,2755
47,0,311,1807,971
1,3,312,855,1230
1,19,313,1904,887
0,0,314,712,1990
66,3,315,6366,9009
42,2,316,1683,997
39,14,317,2193,754
501,31,318,4797,1459
340,71,319,4968,2239
1004,118,320,28579,5876
852,71,321,7800,705
1185,60,322,28913,2801
4098,67,323,18952,4296
7122,305,324,14101,2570
16767,1301,325,10770,5980
15735,1948,326,1411,3532
11690,2246,327,1168,6086
11755,3135,328,3626,7942
10810,1740,329,726,4478
15369,4718,330,716,3942
3231,1720,331,94,1353
1774,2108,332,423,3410
4090,2454,333,371,1407
1097,2682,334,143,2199
3320,6357,335,202,4421
916,2444,336,317,2190
306,3985,337,63,1441
779,2307,338,92,2228
572,2019,339,28,899
964,5393,340,96,2386
499,2361,341,35,1029
80,3418,342,44,1254
81,1926,343,22,1382
66,2004,344,31,896
31,3669,345,55,1549
29,1590,346,28,896
91,2068,347,40,601
22,2975,348,2,626
12,964,349,55,208
12,2341,350,31,533
1,640,351,37,412
9,1478,352,1,283
5,690,353,2,72
,,,,
27 APR 22  (2)  100 (Weeklys),,,,
CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,0,294,101,86
0,1,295,4,192
0,0,296,39,3
0,0,297,15,5
0,0,298,21,7
0,0,299,61,2716
12,32,300,851,1113
0,0,301,22,31
2,0,302,6,13
0,0,303,37,10
0,0,304,67,115
0,1,305,364,258
0,3,306,155,101
0,0,307,283,187
0,35,308,125,654
0,0,309,110,75
1,71,310,677,980
2,5,311,151,358
0,4,312,168,165
5,0,313,140,92
11,10,314,148,338
15,25,315,2032,909
1,14,316,574,386
1,2,317,622,256
17,32,318,1930,865
19,11,319,661,396
87,90,320,7606,3776
134,100,321,1027,400
998,83,322,3884,1014
1230,70,323,3446,950
1613,81,324,2032,1102
2289,329,325,2709,2479
1800,273,326,543,890
1317,617,327,362,990
557,392,328,347,1431
802,767,329,82,610
2620,1146,330,882,2961
384,1070,331,52,995
480,1066,332,115,1436
476,1262,333,70,969
935,1418,334,46,923
4984,2843,335,130,3637
471,941,336,13,1537
360,447,337,78,4382
448,948,338,9,1894
251,1007,339,16,712
756,2479,340,52,3468
209,1361,341,15,905
89,1215,342,43,784
778,1668,343,19,698
41,1267,344,1,1726
180,3850,345,72,1068
42,1598,346,17,692
404,1197,347,2,253
109,695,348,2,607
16,670,349,2,464
162,1915,350,73,466
1,706,351,0,193
28,515,352,0,127
12,349,353,0,267
,,,,
29 APR 22  (4)  100 (Weeklys),,,,
CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,7,295,523,763
0,24,296,85,411
0,0,297,170,57
0,10,298,157,352
8,0,299,78,331
29,59,300,2046,10723
10,12,301,445,381
0,58,302,123,4167
6,0,303,363,149
2,18,304,250,449
0,61,305,596,10816
0,15,306,206,4331
0,2,307,146,269
0,24,308,417,480
0,0,309,250,450
11,335,310,2109,9125
2,5,311,262,289
10,21,312,983,5232
12,48,312.5,271,486
28,112,314,959,1917
33,164,315,1942,10979
18,49,316,4504,16441
18,52,317.5,344,1120
20,61,318,4059,3333
3,90,319,1111,6721
236,437,320,13138,32139
178,97,321,363,1029
259,178,322,4310,9043
158,43,322.5,431,796
513,50,323,2949,4945
791,244,324,1909,2168
3030,17921,325,4581,36568
730,563,326,435,3874
399,526,327,408,1484
199,255,327.5,320,441
2017,680,328,563,1656
670,840,329,195,1621
4156,7397,330,2986,22518
285,656,331,274,7733
247,1528,332,73,12959
262,10243,332.5,21,1073
556,2326,333,27,8966
363,1445,334,87,753
3716,4594,335,164,18686
691,1964,336,111,3051
405,974,337,23,1993
683,1444,337.5,9,1050
402,1435,338,260,3807
244,1318,339,87,1637
2745,6169,340,623,20603
181,1342,341,19,1761
2178,2538,342,89,1915
84,1002,342.5,1,1489
336,3851,343,109,7337
85,1752,344,202,4383
947,7048,345,36,6039
286,3381,346,1,2438
406,5799,347,2,1041
39,2039,347.5,0,437
50,2552,348,3,1641
