CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
1,1,139,206,3189
48,184,140,3041,13561
0,0,141,100,756
4,0,142,106,382
2,4,143,131,361
4,1,144,184,366
14,46,145,1063,11841
0,0,146,166,392
2,3,147,180,516
0,3,148,315,541
20,19,149,313,1029
74,539,150,9735,20523
6,44,152.5,1665,2653
47,87,155,2840,6694
14,22,157.5,2433,1437
240,836,160,10811,12770
38,583,162.5,2250,3498
96,541,165,5013,6404
44,169,167.5,2507,3396
434,1032,170,7148,9456
504,1250,172.5,2991,3955
2859,4908,175,9705,6749
675,1291,177.5,7773,2249
2318,3573,180,15879,6963
966,1515,182.5,4603,2230
2771,5347,185,12189,4269
1282,2265,187.5,3879,1134
4520,8816,190,31787,5294
1047,1932,192.5,5914,1191
2825,3261,195,20066,2479
3212,1482,197.5,9561,742
17096,10873,200,21198,5065
8014,6117,202.5,2559,1186
16341,5443,205,3667,1892
4334,4507,207.5,463,889
20126,7349,210,1788,1661
5801,3440,212.5,157,1774
10640,4415,215,102,2064
2536,1970,217.5,21,655
11448,7069,220,97,1302
1751,2680,222.5,0,249
8684,7955,225,58,696
955,1943,227.5,11,241
4907,6399,230,40,370
2804,1433,232.5,11,56
1320,8447,235,9,473
1347,1155,237.5,5,10
1757,5621,240,4,249
1175,3650,242.5,0,7
3280,4367,245,1,439
2602,4501,247.5,2,6
2985,7630,250,9,224
109,549,252.5,0,13
84,1420,255,0,74
68,2068,257.5,0,2
309,2951,260,1,27
64,263,262.5,2,7
138,1570,265,0,35
351,1816,267.5,0,14
250,2135,270,0,73
